stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
137,258,"Hollister & Nogal",,34.440027,-119.771430,,,,,,2
138,259,"Hollister & Auhay East",,34.439368,-119.774740,,,,,,2
139,26,"Storke & Hollister",,34.429643,-119.869890,,,,,,2
140,260,"Hollister & Sport Center",,34.438878,-119.777638,,,,,,2
141,261,"Hollister & San Antonio",,34.438058,-119.782010,,,,,,2
143,263,"Hollister & San Marcos",,34.435412,-119.794900,,,,,,2
145,265,"Hollister & Lassen",,34.435071,-119.807000,,,,,,2
147,268,"Hollister & Ward",,34.435448,-119.817410,,,,,,2
148,269,"Hollister & Wendy's",,34.435772,-119.823890,,,,,,2
149,27,"Santa Felicia & Marketplace",,34.428798,-119.875665,,,,,,2
150,270,"Hollister & Orange",,34.436151,-119.829350,,,,,,2
152,272,"Hollister & David Love",,34.433550,-119.838940,,,,,,2
161,281,"Storke & Marketplace",,34.428296,-119.869870,,,,,,2
162,282,"Santa Felicia & Storke",,34.426751,-119.871456,,,,,,2
163,283,"Santa Felicia & Girsh Park",,34.426765,-119.873336,,,,,,2
164,284,"Hollister & Camino Real Marketplace",,34.429980,-119.872498,,,,,,2
170,29,"State & Las Positas",,34.440260,-119.733790,,,,,,2
172,291,"Hollister & San Ricardo",,34.434794,-119.805700,,,,,,2
173,292,"Hollister & Via El Cuadro",,34.434875,-119.797810,,,,,,2
176,295,"State & Hitchcock",,34.440338,-119.744152,,,,,,2
178,297,"State & Los Olivos",,34.432512,-119.717131,,,,,,2
179,298,"State & Pedregosa",,34.429668,-119.713254,,,,,,2
180,299,"Anacapa & Sola",,34.426135,-119.705740,,,,,,2
181,3,"Carrillo & San Pascual",,34.415231,-119.708745,,,,,,2
182,300,"Westside Community Center",,34.419746,-119.709916,,,,,,2
183,307,"Calle Real & Kingston",,34.441200,-119.821490,,,,,,2
184,308,"Encina & Calle Real",,34.441866,-119.827620,,,,,,2
185,31,"Calle Real & Turnpike West",,34.442769,-119.791352,,,,,,2
186,312,"Hollister & Cannon Green",,34.430059,-119.883330,,,,,,2
187,313,"Hollister & Palo Alto",,34.429900,-119.891768,,,,,,2
188,314,"Hollister & Santa Barbara Shores",,34.429868,-119.894051,,,,,,2
189,315,"Hollister & Viajero",,34.429581,-119.897021,,,,,,2
192,318,"Milpas & Quinientos",,34.421325,-119.678681,,,,,,2
193,319,"Milpas & Cacique",,34.419438,-119.676090,,,,,,2
194,32,"University & Patterson",,34.445418,-119.807482,,,,,,2
195,320,"Coast Village & Butterfly",,34.421588,-119.647720,,,,,,2
196,321,"Coast Village & Middle",,34.421177,-119.644520,,,,,,2
197,322,"Coast Village & Olive Mill",,34.421425,-119.640240,,,,,,2
198,323,"Carpinteria & Reynolds",,34.401699,-119.523764,,,,,,2
199,324,"Coast Village & Coast Village Ciricle",,34.421453,-119.641890,,,,,,2
200,325,"Milpas & De La Guerra",,34.428849,-119.688960,,,,,,2
201,326,"Milpas & Puerto Vallarta",,34.418270,-119.674390,,,,,,2
202,327,"Bath & Los Olivos",,34.429425,-119.720442,,,,,,2
203,328,"Junipero & Alamar",,34.428638,-119.726334,,,,,,2
204,329,"Junipero & Calle Real",,34.427401,-119.727670,,,,,,2
205,33,"Fairview & Encina",,34.442278,-119.830788,,,,,,2
206,330,"San Onofre & Las Positas",,34.432418,-119.733491,,,,,,2
208,332,"De La Vina & Mission",,34.428341,-119.716556,,,,,,2
209,333,"De La Vina & Islay",,34.426636,-119.714234,,,,,,2
210,334,"De La Vina & Micheltorena",,34.424080,-119.710755,,,,,,2
211,335,"Cabrillo & Los Patos",,34.421923,-119.656070,,,,,,2
212,336,"El Colegio & Stadium",,34.417475,-119.854100,,,,,,2
213,342,"Carpinteria & Casitas Plaza Out",,34.394512,-119.512969,,,,,,2
214,343,"Chapala & Cota",,34.416850,-119.698029,,,,,,2
216,345,"Chapala & Canon Perdido",,34.419707,-119.701911,,,,,,2
217,346,"De La Vina & Canon Perdido",,34.418280,-119.702792,,,,,,2
218,347,"De La Vina & Ortega",,34.416346,-119.700165,,,,,,2
219,348,"De La Vina & Haley",,34.414820,-119.698083,,,,,,2
220,349,"Cliff & Fellowship",,34.403185,-119.728353,,,,,,2
221,35,"Encina & Fairview",,34.443077,-119.830190,,,,,,2
222,350,"Cliff & Flora Vista",,34.403665,-119.730040,,,,,,2
223,351,"Cliff & Alan",,34.404807,-119.740594,,,,,,2
225,353,"Las Positas & Las Positas Park",,34.412794,-119.740149,,,,,,2
226,354,"Las Positas & Richelle",,34.416021,-119.740522,,,,,,2
227,355,"Torino & Veronica Springs",,34.425646,-119.744043,,,,,,2
228,356,"Torino & Palermo",,34.425157,-119.747585,,,,,,2
229,357,"Torino & Barcelona",,34.423413,-119.749420,,,,,,2
230,358,"Torino & Calle De Los Amigos",,34.422360,-119.749823,,,,,,2
231,359,"Calle De Los Amigos & Senda Verde",,34.425660,-119.750962,,,,,,2
232,360,"Mariana & Vista del Monte",,34.429690,-119.748472,,,,,,2
233,361,"Calle De Los Amigos & Mariana",,34.430206,-119.749886,,,,,,2
234,362,"Calle De Los Amigos & Modoc",,34.432555,-119.748132,,,,,,2
235,363,"Modoc & La Cumbre Country Club",,34.435694,-119.751390,,,,,,2
236,364,"La Cumbre Plaza & Plaza Ave",,34.439005,-119.749077,,,,,,2
237,365,"Calle De Los Amigos & Cinco Amigos",,34.431797,-119.748967,,,,,,2
238,366,"Casiano & Mariana",,34.429359,-119.748507,,,,,,2
239,367,"Veronica Springs & Torino",,34.425016,-119.743721,,,,,,2
240,368,"Cliff & Las Positas",,34.405024,-119.738812,,,,,,2
241,369,"Cliff & Mohawk",,34.402942,-119.728196,,,,,,2
242,37,"Cathedral Oaks & Fairview",,34.451570,-119.831161,,,,,,2
243,370,"Cliff & Oliver",,34.402281,-119.725792,,,,,,2
246,373,"Storke & Phelps",,34.424544,-119.869560,,,,,,2
247,374,"Storke & Santa Felicia",,34.426655,-119.869665,,,,,,2
249,386,"Cabrillo & Garden",,34.414199,-119.687177,,,,,,2
251,389,"Chapala & Sola",,34.424463,-119.708502,,,,,,2
252,39,"Cathedral Oaks & Turnpike",,34.451252,-119.789790,,,,,,2
253,390,"Arrellaga & De La Vina",,34.424865,-119.712054,,,,,,2
254,391,"San Pascual & Ortega",,34.412119,-119.704602,,,,,,2
255,392,"Coronel & Wentworth",,34.411041,-119.701587,,,,,,2
256,394,"Anapamu & Bath",,34.420357,-119.707750,,,,,,2
257,395,"Bath & Victoria",,34.421286,-119.709276,,,,,,2
258,396,"Bath & Micheltorena",,34.423188,-119.711885,,,,,,2
259,397,"Bath & Valerio",,34.424806,-119.714087,,,,,,2
260,398,"Bath & Islay",,34.425984,-119.715688,,,,,,2
261,399,"Bath & Mission",,34.427494,-119.717737,,,,,,2
262,4,"Transit Center",,34.420949,-119.703600,,,,,,1
263,40,"Foothill & Cieneguitas",,34.451401,-119.760224,,,,,,2
264,400,"Calle Real & Treasure",,34.427472,-119.729078,,,,,,2
265,401,"Las Positas & Stanley",,34.435694,-119.733774,,,,,,2
266,402,"Hitchcock & State",,34.439669,-119.744548,,,,,,2
267,403,"Hitchcock & La Rada",,34.436153,-119.745070,,,,,,2
268,404,"Hitchcock & Calle Real",,34.433248,-119.746260,,,,,,2
269,405,"Calle Real & La Cumbre",,34.436443,-119.750279,,,,,,2
270,406,"Treasure & Calle Real",,34.427741,-119.729490,,,,,,2
271,407,"De La Vina & Victoria",,34.421910,-119.707743,,,,,,2
272,408,"De La Vina & Anapamu",,34.421040,-119.706556,,,,,,2
273,409,"Calle Real & Pesetas",,34.441460,-119.757619,,,,,,2
274,410,"Calle Real & Old Mill",,34.441271,-119.764407,,,,,,2
275,411,"Calle Real & El Sueno",,34.441543,-119.769105,,,,,,2
276,414,"Calle Real & San Antonio",,34.442635,-119.782397,,,,,,2
277,415,"Calle Real & Turnpike",,34.443910,-119.789963,,,,,,2
278,416,"Calle Real & Pebble Hill",,34.442051,-119.795891,,,,,,2
279,417,"San Marcos & Calle Real",,34.442712,-119.797205,,,,,,2
280,418,"University & San Marcos",,34.445263,-119.797435,,,,,,2
281,419,"University & Ribera",,34.445314,-119.803244,,,,,,2
282,42,"UCSB North Hall Outbound",,34.414984,-119.848091,,,,,,2
283,420,"Calle Real & Patterson",,34.443889,-119.808820,,,,,,2
284,421,"Calle Real & Maravilla",,34.441909,-119.815370,,,,,,2
285,422,"Pesetas & Calle Real",,34.442434,-119.758396,,,,,,2
286,423,"La Colina & Pesetas",,34.444151,-119.757862,,,,,,2
287,424,"La Colina & Lee",,34.444146,-119.754122,,,,,,2
288,425,"La Cumbre & La Colina",,34.443928,-119.751158,,,,,,2
289,426,"La Cumbre & Via Lucero",,34.441747,-119.751172,,,,,,2
290,427,"Haley & Santa Barbara",,34.418704,-119.693400,,,,,,2
291,428,"Haley & Laguna",,34.421204,-119.690750,,,,,,2
292,429,"Haley & Salsipuedes",,34.423311,-119.688480,,,,,,2
293,43,"Winchester Canyon & Bradford",,34.434937,-119.900585,,,,,,2
294,430,"Haley & Quarantina",,34.424338,-119.687420,,,,,,2
295,431,"Haley & Milpas",,34.426025,-119.685620,,,,,,2
296,432,"Lillie & Valencia",,34.420477,-119.596920,,,,,,2
297,433,"Lillie & Olive",,34.419761,-119.594414,,,,,,2
298,434,"Lillie & Greenwell",,34.419285,-119.591944,,,,,,2
299,435,"Via Real & West Padaro",,34.417682,-119.582760,,,,,,2
300,436,"Via Real & Toro Canyon",,34.416091,-119.575330,,,,,,2
301,437,"Via Real & Sentar",,34.416756,-119.569160,,,,,,2
302,438,"Via Real & Nidever",,34.416457,-119.560360,,,,,,2
303,439,"Via Real & Gallup & Stribling",,34.414723,-119.557456,,,,,,2
304,44,"De La Guerra & Laguna",,34.423675,-119.695062,,,,,,2
305,440,"Via Real & East Padaro",,34.411364,-119.552148,,,,,,2
306,441,"Via Real & Via Real Flowers",,34.407272,-119.547424,,,,,,2
307,442,"Via Real & Cravens",,34.405982,-119.539490,,,,,,2
308,443,"Via Real & Casas De Las Flores",,34.405358,-119.535461,,,,,,2
309,445,"Via Real & Santa Monica East",,34.404844,-119.529742,,,,,,2
310,447,"Carpinteria & Elm",,34.399916,-119.519411,,,,,,2
311,448,"Carpinteria & Maple",,34.397754,-119.517100,,,,,,2
312,45,"Milpas & Gutierrez",,34.425403,-119.684260,,,,,,2
313,450,"Carpinteria & Concha Loma",,34.392476,-119.510823,,,,,,2
314,452,"Carpinteria & Bailard",,34.387138,-119.498041,,,,,,2
315,453,"Carpinteria & S&S Seed",,34.386733,-119.494256,,,,,,2
316,454,"Carpinteria Tech Park",,34.385646,-119.490855,,,,,,2
317,455,"Carpinteria & Highway 150",,34.383217,-119.485923,,,,,,2
318,456,"Hwy 150 & Camino Carreta",,34.384345,-119.480564,,,,,,2
319,457,"Via Real & Business Park",,34.384764,-119.484430,,,,,,2
320,458,"Via Real & Vista de Santa Barbara",,34.387670,-119.494427,,,,,,2
321,459,"Via Real & Bailard",,34.389081,-119.497141,,,,,,2
322,46,"Coast Village & Hot Springs",,34.422065,-119.651580,,,,,,2
323,460,"Carpinteria & Eugenia",,34.398231,-119.517411,,,,,,2
325,462,"Lillie & Colville",,34.421410,-119.598879,,,,,,2
326,463,"Gutierrez & Nopal",,34.424231,-119.685380,,,,,,2
327,464,"Gutierrez & Salsipuedes",,34.422027,-119.687734,,,,,,2
328,465,"Gutierrez & Laguna",,34.419972,-119.689930,,,,,,2
329,466,"Gutierrez & Santa Barbara",,34.418458,-119.691550,,,,,,2
330,467,"Gutierrez & State",,34.415358,-119.694870,,,,,,2
331,468,"Anacapa & Ortega",,34.419463,-119.696654,,,,,,2
332,469,"Colusa & Del Norte",,34.435686,-119.872737,,,,,,2
333,47,"East Valley & San Ysidro",,34.437115,-119.632571,,,,,,2
334,470,"Del Norte & Mendocino",,34.436497,-119.876590,,,,,,2
335,471,"Placer & Padova",,34.436998,-119.883539,,,,,,2
336,472,"Ellwood Station & San Blanco",,34.433845,-119.885156,,,,,,2
337,473,"Calle Real & San Rossano",,34.432815,-119.889519,,,,,,2
338,474,"Brandon & Hempstead",,34.433929,-119.891433,,,,,,2
339,475,"Brandon & Padova",,34.437387,-119.892675,,,,,,2
340,476,"Salisbury & San Napoli",,34.439095,-119.894743,,,,,,2
341,477,"Salisbury & Padova",,34.437024,-119.895314,,,,,,2
342,479,"Calle Real & Winchester",,34.432722,-119.902647,,,,,,2
343,48,"East Valley & Romero Canyon",,34.436046,-119.601892,,,,,,2
344,480,"Evergreen & Redwood",,34.440107,-119.894097,,,,,,2
345,481,"Brandon & Durham",,34.434242,-119.891816,,,,,,2
346,482,"Brandon & Calle Real",,34.432902,-119.891197,,,,,,2
347,483,"Placer & Del Norte",,34.436611,-119.883260,,,,,,2
348,484,"Del Norte & Calaveras",,34.436375,-119.878362,,,,,,2
349,485,"Del Norte & Colusa",,34.435741,-119.872361,,,,,,2
350,49,"North Jameson & Sheffield",,34.422348,-119.614727,,,,,,2
351,490,"Ocean & Sabado Tarde",,34.411008,-119.853316,,,,,,2
352,492,"State & Mason",,34.413124,-119.690650,,,,,,2
353,493,"State & Yanonali",,34.414416,-119.692020,,,,,,2
359,50,"San Ysidro & San Leandro",,34.424230,-119.631480,,,,,,2
364,504,"Cabrillo & Garden",,34.414608,-119.685576,,,,,,2
365,505,"Cabrillo & Calle Cesar Chavez",,34.415369,-119.679654,,,,,,2
366,506,"Cabrillo & Puerto Vallarta",,34.416358,-119.674929,,,,,,2
367,508,"Cabrillo & Milpas",,34.416883,-119.672110,,,,,,2
368,509,"Ninos & Por La Mar",,34.418077,-119.667842,,,,,,2
369,51,"El Colegio & Camino Corto",,34.417280,-119.865970,,,,,,2
370,510,"Cabrillo & Ninos",,34.417478,-119.668100,,,,,,2
371,511,"Cabrillo & Chase Palm Park",,34.415030,-119.684094,,,,,,2
372,512,"Cabrillo & Anacapa",,34.413158,-119.688330,,,,,,2
373,513,"Cabrillo & Chapala",,34.411036,-119.690769,,,,,,2
374,514,"Cabrillo & Bath",,34.409036,-119.692993,,,,,,2
375,515,"Cabrillo & Castillo",,34.408168,-119.693588,,,,,,2
376,518,"North Jameson & Miramar",,34.422531,-119.630277,,,,,,2
378,521,"Fairview and Fowler",,34.427146,-119.830610,,,,,,2
379,523,"Moffett & Goleta Beach",,34.419670,-119.835120,,,,,,2
383,529,"Cathedral Oaks & Via Chaparral",,34.450005,-119.765770,,,,,,2
384,53,"San Pascual & Canon Perdido",,34.414157,-119.707216,,,,,,2
385,530,"Cathedral Oaks & El Sueno",,34.449883,-119.770260,,,,,,2
386,531,"Cathedral Oaks & Camino Del Retiro",,34.452036,-119.776179,,,,,,2
387,533,"Cathedral Oaks & San Marcos",,34.451574,-119.796566,,,,,,2
388,534,"Cathedral Oaks & Ribera",,34.451642,-119.800150,,,,,,2
389,535,"Cathedral Oaks & Patterson",,34.453176,-119.808505,,,,,,2
390,536,"Cathedral Oaks & Kellogg",,34.453042,-119.813550,,,,,,2
391,537,"Cathedral Oaks & Camino Cascada",,34.452420,-119.817929,,,,,,2
392,538,"Cathedral Oaks & Cambridge",,34.451442,-119.821191,,,,,,2
393,539,"Cathedral Oaks & Arundel",,34.451374,-119.825129,,,,,,2
394,54,"Canon Perdido & San Pascual",,34.414036,-119.707424,,,,,,2
395,540,"Cathedral Oaks & Windsor",,34.451072,-119.844604,,,,,,2
396,542,"Cathedral Oaks & Camino Laguna Vista",,34.448405,-119.850260,,,,,,2
397,543,"Cathedral Oaks & Los Carneros",,34.445840,-119.855827,,,,,,2
398,544,"Cathedral Oaks & Glen Annie",,34.440855,-119.875187,,,,,,2
399,546,"Cathedral Oaks & Santa Marguerita",,34.451377,-119.837876,,,,,,2
400,547,"Cathedral Oaks & Arundel",,34.451039,-119.823858,,,,,,2
401,548,"Cathedral Oaks & Avenida Pequena",,34.452818,-119.810923,,,,,,2
402,549,"Cathedral Oaks & Camino Del Remedio",,34.451940,-119.776444,,,,,,2
403,55,"Las Positas & Richelle",,34.416422,-119.740906,,,,,,2
404,551,"La Cumbre & Via La Cumbre",,34.446943,-119.751138,,,,,,2
408,56,"Cliff & Mesa",,34.403759,-119.731146,,,,,,2
420,580,"East Valley & Live Oaks",,34.436895,-119.626323,,,,,,2
421,581,"East Valley & Knowlwood Club",,34.438124,-119.624600,,,,,,2
422,582,"State & Mission",,34.430748,-119.714423,,,,,,2
423,584,"State & Alamar",,34.438970,-119.725208,,,,,,2
424,590,"Alameda & Padova 590",,34.437171,-119.880469,,,,,,2
425,60,"Camino Del Sur & Picasso",,34.415140,-119.862637,,,,,,2
426,603,"Abrego & Camino Corto",,34.414525,-119.866320,,,,,,2
427,606,"Abrego & Camino Del Sur",,34.414270,-119.862900,,,,,,2
428,608,"Abrego & Camino Pescadero",,34.414109,-119.858919,,,,,,2
429,609,"Alameda & Bassano",,34.439745,-119.880625,,,,,,2
430,610,"Anacapa & Canon Perdido",,34.421449,-119.699338,,,,,,2
431,611,"Alameda & Padova",,34.436872,-119.880626,,,,,,2
433,613,"Anacapa & Figueroa",,34.423324,-119.701908,,,,,,2
435,615,"Anapamu & Alta Vista",,34.430595,-119.696870,,,,,,2
436,616,"Anapamu & Nopal",,34.431354,-119.695870,,,,,,2
437,618,"Anapamu & Garden",,34.426674,-119.700830,,,,,,2
438,620,"Bath & Los Olivos",,34.429108,-119.720197,,,,,,2
439,621,"Bath & Pueblo",,34.430440,-119.721815,,,,,,2
441,625,"Brandon & Evergreen",,34.439700,-119.892890,,,,,,2
442,626,"Brandon & Padova",,34.437493,-119.892808,,,,,,2
443,627,"Cabrillo & Bath",,34.409306,-119.692418,,,,,,2
444,628,"Cabrillo & Chapala",,34.411304,-119.690062,,,,,,2
445,629,"Cabrillo & Milpas",,34.416818,-119.671490,,,,,,2
446,63,"Haley & De La Vina",,34.414885,-119.697468,,,,,,2
447,630,"Cabrillo & Ninos",,34.417197,-119.669602,,,,,,2
448,631,"Cabrillo & Puerto Vallarta",,34.416208,-119.674942,,,,,,2
449,632,"Calle De los Amigos & Senda Verde",,34.425593,-119.751145,,,,,,2
450,635,"Calle Real & Calle Real Center",,34.441368,-119.824360,,,,,,2
451,636,"Calle Real & Calle Real Center",,34.441126,-119.823570,,,,,,2
452,637,"Calle Real & El Sueno",,34.441336,-119.768668,,,,,,2
453,638,"Calle Real & Kellogg",,34.441071,-119.818650,,,,,,2
454,64,"Castillo & Montecito",,34.411069,-119.697841,,,,,,2
455,641,"Calle Real & Maravilla",,34.441717,-119.815040,,,,,,2
456,642,"Calle Real & Pebble Hill",,34.441962,-119.795831,,,,,,2
457,643,"Calle Real & Old Mill",,34.441350,-119.765170,,,,,,2
